Video_id,Comments
Dnx3m0RVZMA,115
-8ojjG6Yyqk,104
wFT8MCC6K3w,11
q0gLQ2rFkZE,64
Zq89KhQ5gY0,8
dQLa9Qya2OU,51
XOZzynptGXo,15
npXhO4gfi_o,29
o8uvnk7Flt8,59
19ksgzttJ_4,46
eNo2oPLo2dY,9
oWVOWBuAOP4,2
9murxRx9Ab8,46
yCZUUVTFji8,29
dVPVKrk94yw,28
poMf9MQJIgg,125
R0XJbG3vFCM,57
ZtxZrO57AzE,37
yY41-hW0rmg,54
LtW3WdA4Iqk,37
h7ba8ZzQT_g,93
kSuPous5WPU,21
RWYaWSU2KOE,46
bYuQr5Mpvlg,70
WTsL21mceW4,18
QqdQtWpTwjk,78
-nQG5srwW3A,58
aqz7_qC202E,96
snSRGsou8xw,39
B0ONvoxlcok,33
GSFszYAr4L4,32
fRQ_pterSkY,28
AkC2YWGldWg,64
VrVP5h-bNqg,131
QIzb69FYTxA,75
q67gTqikMn8,66
dqmPSrDMXMY,45
nHd_vjgt7kk,58
HnZW1hy4dPk,71
iEGjvEAx8Q0,6
bEeIz3IbIOc,156
TC20gLNUVpI,432
mJDdZEv2D5U,26
mfJFiUjLADw,13
R0uLfiZhZyc,39
BqWR5yZxZvE,86
6lWdpfOPSHA,28
oYc5ccUAPAA,8
umLuZygpBnc,62
kJVOGL5Kbnc,3
ioVQJAgH6IM,94
bPfzGTQKz-s,82
08xh9G_sh9I,25
cfbQnJNmsLI,57
EhgNtKJd5Yk,63
Q9Dv73xslzo,98
WiiX6pcfVUc,125
FA3hmEoVc_M,66
vxXvSMEMp_g,9
jsNgDgb_j7w,67
1Wp0MgLLLBA,60
VimPTVJ7dUY,67
O27TpezXhZ4,24
fXZW9PWRYDA,7
Ih-E6fhOn8c,106
8fZasp4HN3c,300
Kgh93SCaJPw,279
Gvcru8fqqcA,65
8agtneVekfs,113
VujKgBgjxBY,32
vUlJLOpyI3M,19
BFEbRCOuTio,37
ZsoAUDS_6sk,79
_ftXHqW7gss,103
3x6dIx9bdCU,66
znkZ-QuLFdU,0
RGlCdaZJrI4,85
afuJ2kwGb-M,80
fwFgpVpGNuY,65
AyTmYLEALKw,54
_uJiFyH7bOA,65
jKjSikeEIEI,7
-WGAVYITL14,0
lC6-VNaZJLI,106
OW-Sb2a7dEA,0
UOQRc85cNXU,65
Q4J6JXh2Vrs,0
ai6tReh_tEs,76
5ZRSJGRSuE0,71
vNQr6k7_D8U,77
d6CNWVFOYIs,391
U2IglC56Ac0,73
4sUzQkef-Yk,32
oOou4wUX3Hk,66
3jGoqB_krn0,24
GD1Ot6U1tQ8,34
n666KVwvcdc,46
LHNH0noKG5k,57
Rg8wVACicvc,103
q0F8_P8QnTA,0
alEM5B07Sec,17
jUBuycD0YqI,126
bZeZR50Xv4Q,119
VkDkFOkOXZA,178
ykiAj_b_0FE,104
7PzT6PCGBzM,61
1byh9Hv4-CY,49
7Tp3hGDeuT0,72
YMVVa9R8gU8,378
DmeEnLFfa3g,50
DAK2ERQ_lts,13
BloypYYtXuw,63
-nj30_XzMTU,275
jJpr2wknTg4,98
r1BgFRH8tYU,22
JfFeCjGEvBA,202
N79LaXVAxPI,113
DQbueJcbD3c,29
4yxQu7p1MGs,228
uNZIs71VwCs,30
RAYC_uZWTJM,81
7Gjq26Py3JM,37
heEB69pA1CI,49
Zi7YMNh4y-8,43
r1x9wDCaQvM,57
72WQYDLRZOA,76
s9NEzOMz7R4,50
8yiTGXEJGY4,115
JVGuGoKipTI,121
2f_LDx7J1TU,221
U6x0cfKj06s,95
yB_jiIqqFho,51
vrHsx7-dx98,373
OnN2Vi0aN-U,85
3ihvVifG258,346
_Aq7Tucna_8,48
MQwfhGw7OJc,41
q9Dkx4otB_Q,57
WOU9jbSe1oc,107
xF-mIhLjGFY,152
Ch53-3Qd7pw,242
xeUxpOwC5cw,124
dhXNH5fDlmg,232
KULxth70MP8,76
ReojSacVKWs,72
bTWv1hXtzrU,90
ZPne-lcNP-E,106
A3LKHG1cwIg,74
KQaH2DCYEP4,116
RveX4_6MaD0,78
z3RWT3Cm0nY,52
Mh9jsgAc614,151
AbOZzmiRMu0,161
4mJmEADqdDc,75
VSL4_jWMj1A,553
FBPSUcd7xIQ,85
8ZFKaxVDZ1M,83
Xqsht64maRQ,124
R0y1fapso3g,85
fQpOoyvgUao,132
EHxu9xWctJc,152
drNJonpNcTM,213
d7IBvlIOmW4,87
2D6uhOJtN44,454
yzMJbhVbQcA,159
S78r77Wd8Zo,0
l86JJEGUJe8,239
Mh7ga3E8Sss,111
TMbTqx8lM4c,201
RTECtV8mULg,106
ti5izVRoJnk,174
Em-KTMxxoDc,236
IKBk-Js_R6s,169
dWx5__9ghAg,456
UT7VpgesmTA,98
2w6ZxGqqVI0,137
7WpCm8fH1i8,100
WjgTI4a7vGc,245
a6vZFMHPdUA,68
TyXehfAB7Q0,2243
73v-k7HTAXY,123
MpiS8EGX0_Q,753
utuW8qvdoPg,168
UZTtqn-A5ss,89
-iKkrGq0s_M,100
SEnXq39-Te8,142
WjVSMASGTm8,338
RmciQNnYxLY,203
HVaP8akjnaU,72
hgr3iNJdLzE,753
_eX_ErjebuE,90
XW1pLSIdjwM,153
fHbd8C69-xg,744
C_dLST3fa6s,579
mTen4Pv8OA0,49
qO6zuDjdzE8,62
j1oQE1514q8,125
Sd6z0FPQqMg,380
6U9zMdzDFn8,157
DqTWuRBsfnY,65
V8JwQcOySMQ,66
FR_yJLyrX8Y,119
FgYtH2i-ZwE,101
E8KPG5eiWE4,97
5Jz1UShX8G0,468
YnAZ3ttH9cM,0
OFMY0US01Fg,376
Qcr-GY07JXM,529
CstenZO2SMY,51
WsWRpp35Uhc,594
fBnyyknJe-4,91
52A0ihjmn5Y,0
RCH48p2S0Ww,1106
287kiGmdrdw,149
0QZVJFOE4cE,1478
WpeZLtLnp1s,56
NF6PrHYV5Yg,105
1y57dThcJSk,68
oQtjuoApc7c,1286
gAsMgE0m3yY,52
Ed8fS4TGee0,488
tJwdgWdFvGg,416
CQFFaa9fmS0,1516
sdMYK3TuVfY,176
8WzD4o1oDtQ,839
6d9-kgWigmo,469
fhg7IP_bIJI,59
8LzM2R9EDgA,268
apA3W22z0ig,132
Zli1mJyfccY,157
jsuZ0Kh36bI,411
O8LlD6r5kgo,107
uRtTzbD9KBg,138
Srs725fGTkI,376
h9gFgr-gW28,53
mX3Xeq4QEyQ,312
WNFTW_RZTxI,150
_-6OQADJia4,56
prX-al_3EQA,293
uDrgzaOxYlg,87
wIwC_DDvKbQ,196
jbdsry6XjMM,104
m23jNk5IVZI,107
tXWWFNv_2es,133
YsxXU8_E3bI,139
kq7rTCIKPko,77
pU6hGgY1dcw,52
Kn39_ROacNU,96
Ki83wJbClxk,402
8NcJEIsc8sQ,125
kSvTd0KR5WU,2764
2yqqNtunyxI,591
d_iAmE-k5DE,111
PNRniV3gtmk,126
InrGxTgNbgo,71
YXsygF1AjT4,302
GqNRQuU5hKc,45
1sj48x52uh8,115
cs0BdQyP7ZY,1861
JsRq0Cfq_Tk,112
_WAQOcSU2Co,117
BNfT6hTg1ag,1211
yqKOhCuo3hA,1827
