Channel_id,Created_at,Channel_name,Custom_url,Subscribers,Views,Total_Videos,Playlist_id,Channel_age_years,Index_Performance,Index_Performance_log10
UCCTHtVMXy9gQA8X_HOEJA2A,2013-12-18 13:56:36+00:00,Gis com Giz Matemática,@giscomgiz,5470000,591255627,2269,UUCTHtVMXy9gQA8X_HOEJA2A,12.07,1593.8283424415733,3.2024415454510446
UCJX2x-WgMyk54OqwnPWGz2Q,2010-04-10 14:35:46+00:00,Marcos Aba Matemática,@marcosaba,3660000,341758488,4009,UUJX2x-WgMyk54OqwnPWGz2Q,15.76,1422.0989985620492,3.152929830593931
UCW9_n8p_Byz-4k8wV1tnUBg,2014-03-20 00:04:32+00:00,Professor Ferretto | ENEM e Vestibulares,@professorferretto,3470000,286126030,1240,UUW9_n8p_Byz-4k8wV1tnUBg,11.82,261.8563872365948,2.418063171736746
UCXBJ_Ef8qfYrwN5cY8W7ziA,2018-02-01 20:59:04+00:00,Dicasdemat Sandro Curió,@sandrocuriodicasdemat,3170000,313588909,1772,UUXBJ_Ef8qfYrwN5cY8W7ziA,7.95,251.9927051799287,2.4013879687737707
UCjIPRjJZtGhzWD2LrEKOHMA,2010-03-26 00:33:42+00:00,Matemática Rio com Prof. Rafael Procopio,@matematicario,2440000,290786726,2873,UUjIPRjJZtGhzWD2LrEKOHMA,15.81,579.9213078195926,2.763369066152014
UC5Y3Kw7DCG6FTiC0Xx7sgfQ,2011-10-31 19:54:46+00:00,Professora Angela Matemática,@professoraangelamatematica,1900000,148983318,1863,UU5Y3Kw7DCG6FTiC0Xx7sgfQ,14.21,134.8451535477286,2.129835342147443
UCZLyNRqqp2MeFuwuZdbGDJw,2016-05-16 22:10:26+00:00,Equaciona Com Paulo Pereira,@equacionamatematica,1880000,379353277,2216,UUZLyNRqqp2MeFuwuZdbGDJw,9.66,274.71712823586824,2.438885737929558
UCvMdTwY9FYB3cskV9f9djoQ,2017-03-26 22:07:10+00:00,Matemática no Papel,@matematicanopapel,1470000,152022400,1182,UUvMdTwY9FYB3cskV9f9djoQ,8.8,41.827531422187704,1.621462234139375
UC-gOGJkGLl4FPHmu3DoNZpQ,2019-11-30 22:39:03.403342+00:00,Professor Dr. Rafael Bastos Mr. Bean da Matemática,@mrbeandamatematica,1390000,598341343,9643,UU-gOGJkGLl4FPHmu3DoNZpQ,6.12,883.211199029524,2.94606456723056
UCoB7wLA9hJ8-H4ss1KlR_JQ,2014-08-18 14:58:53+00:00,Matemática Pra Passar,@matematicaprapassar,1100000,62223133,6257,UUoB7wLA9hJ8-H4ss1KlR_JQ,11.41,87.9292816678768,1.9441335252341632
UCkD_O6F2yt97117PhrBxqYA,2006-03-21 00:09:12+00:00,nerckie,@nerckie,849000,103864159,511,UUkD_O6F2yt97117PhrBxqYA,19.82,16.07071190265513,1.2060351156274844
UCf8HI4bUyOOORoVRbeXwVLw,2017-09-17 21:25:39+00:00,Profdombrauskas,@profdombrauskas,817000,311703644,8481,UUf8HI4bUyOOORoVRbeXwVLw,8.33,323.7376178901369,2.510193166788694
UCUx-xXpbDOnd-7VQDioFq_Q,2015-05-30 22:44:54+00:00,Estude Matemática,@estudematematica,765000,177763257,1236,UUUx-xXpbDOnd-7VQDioFq_Q,10.63,32.1508408378092,1.507192335470055
UCu8lEv0rJy2VpMXeJAltlEA,2010-03-19 13:36:30+00:00,omatematico.com,@omatematicogrings,663000,125074332,3420,UUu8lEv0rJy2VpMXeJAltlEA,15.82,80.73307080874892,1.9070514718681668
UCqLLvE_v2ktQVFO_TnSQoTg,2020-04-07 23:28:23.036612+00:00,Matemática em Evidência,matematicaemevidencia,609000,28799454,244,UUqLLvE_v2ktQVFO_TnSQoTg,5.77,0.44432868615216736,-0.3522956475166608
UCKWhzq69oEmFOdAfjNQYKeg,2016-04-25 20:09:29+00:00,Matemática com AMORim,matematicacomamorim,604000,53166105,1194,UUKWhzq69oEmFOdAfjNQYKeg,9.72,6.7062469402740845,0.8264795411631656
UCz5-HfBqc2WzfiI6PI5figA,2010-01-03 18:35:07+00:00,Matemática em Exercícios,matematicaemexercicios,529000,36874482,335,UUz5-HfBqc2WzfiI6PI5figA,16.03,1.8849381128053366,0.2752970958105853
UCFpAlHLWnGaMoBP3QBEEsbQ,2013-12-11 18:16:27+00:00,Matemática da Támires,@matematicadatamires,491000,80313920,1808,UUFpAlHLWnGaMoBP3QBEEsbQ,12.09,15.510800392510205,1.1906342089729702
UCGABb0CDdh9yv4M_w9tkW7g,2015-01-17 14:18:11+00:00,Matemática Boa,@matematicaboa,471000,99678800,2317,UUGABb0CDdh9yv4M_w9tkW7g,10.99,21.512188787788155,1.3326846005361304
UCMUM7htFCzxSE4yvn1aQ2zg,2013-03-24 18:13:32+00:00,Matemática do aluno - Prof. Rodrigo Ribeiro,@matematicadoaluno,414000,34456627,404,UUMUM7htFCzxSE4yvn1aQ2zg,12.81,1.3284363899326284,0.12334076374242421
UCoKv7o7GFD188FcTbhsx15w,2016-04-16 23:21:41+00:00,Prof. MURAKAMI - MATEMÁTICA RAPIDOLA,@murakami.,338000,41771631,2209,UUoKv7o7GFD188FcTbhsx15w,9.75,5.471868236110606,0.7381356309234889
