Video_id,Likes
Dnx3m0RVZMA,391
-8ojjG6Yyqk,230
wFT8MCC6K3w,205
q0gLQ2rFkZE,184
Zq89KhQ5gY0,169
dQLa9Qya2OU,221
XOZzynptGXo,127
npXhO4gfi_o,234
o8uvnk7Flt8,472
19ksgzttJ_4,313
eNo2oPLo2dY,173
oWVOWBuAOP4,86
9murxRx9Ab8,232
yCZUUVTFji8,283
dVPVKrk94yw,211
poMf9MQJIgg,922
R0XJbG3vFCM,370
ZtxZrO57AzE,158
yY41-hW0rmg,374
LtW3WdA4Iqk,406
h7ba8ZzQT_g,608
kSuPous5WPU,303
RWYaWSU2KOE,372
bYuQr5Mpvlg,654
WTsL21mceW4,509
QqdQtWpTwjk,380
-nQG5srwW3A,303
aqz7_qC202E,702
snSRGsou8xw,535
B0ONvoxlcok,293
GSFszYAr4L4,278
fRQ_pterSkY,285
AkC2YWGldWg,882
VrVP5h-bNqg,1315
QIzb69FYTxA,582
q67gTqikMn8,248
dqmPSrDMXMY,1162
nHd_vjgt7kk,535
HnZW1hy4dPk,1571
iEGjvEAx8Q0,228
bEeIz3IbIOc,957
TC20gLNUVpI,2393
mJDdZEv2D5U,213
mfJFiUjLADw,235
R0uLfiZhZyc,251
BqWR5yZxZvE,319
6lWdpfOPSHA,360
oYc5ccUAPAA,176
umLuZygpBnc,332
kJVOGL5Kbnc,237
ioVQJAgH6IM,483
bPfzGTQKz-s,570
08xh9G_sh9I,288
cfbQnJNmsLI,988
EhgNtKJd5Yk,338
Q9Dv73xslzo,768
WiiX6pcfVUc,1249
FA3hmEoVc_M,286
vxXvSMEMp_g,190
jsNgDgb_j7w,1114
1Wp0MgLLLBA,1147
VimPTVJ7dUY,254
O27TpezXhZ4,197
fXZW9PWRYDA,133
Ih-E6fhOn8c,1445
8fZasp4HN3c,4412
Kgh93SCaJPw,3244
Gvcru8fqqcA,1214
8agtneVekfs,1174
VujKgBgjxBY,355
vUlJLOpyI3M,413
BFEbRCOuTio,886
ZsoAUDS_6sk,726
_ftXHqW7gss,988
3x6dIx9bdCU,387
znkZ-QuLFdU,760
RGlCdaZJrI4,1678
afuJ2kwGb-M,612
fwFgpVpGNuY,386
AyTmYLEALKw,624
_uJiFyH7bOA,728
jKjSikeEIEI,568
-WGAVYITL14,873
lC6-VNaZJLI,965
OW-Sb2a7dEA,1237
UOQRc85cNXU,611
Q4J6JXh2Vrs,1869
ai6tReh_tEs,1369
5ZRSJGRSuE0,1105
vNQr6k7_D8U,543
d6CNWVFOYIs,2535
U2IglC56Ac0,860
4sUzQkef-Yk,154
oOou4wUX3Hk,1168
3jGoqB_krn0,208
GD1Ot6U1tQ8,860
n666KVwvcdc,413
LHNH0noKG5k,313
Rg8wVACicvc,423
q0F8_P8QnTA,2549
alEM5B07Sec,159
jUBuycD0YqI,785
bZeZR50Xv4Q,675
VkDkFOkOXZA,1303
ykiAj_b_0FE,0
7PzT6PCGBzM,332
1byh9Hv4-CY,1270
7Tp3hGDeuT0,379
YMVVa9R8gU8,1743
DmeEnLFfa3g,370
DAK2ERQ_lts,89
BloypYYtXuw,561
-nj30_XzMTU,2423
jJpr2wknTg4,957
r1BgFRH8tYU,225
JfFeCjGEvBA,1597
N79LaXVAxPI,1602
DQbueJcbD3c,285
4yxQu7p1MGs,4471
uNZIs71VwCs,357
RAYC_uZWTJM,754
7Gjq26Py3JM,595
heEB69pA1CI,314
Zi7YMNh4y-8,394
r1x9wDCaQvM,386
72WQYDLRZOA,398
s9NEzOMz7R4,388
8yiTGXEJGY4,585
JVGuGoKipTI,1015
2f_LDx7J1TU,1644
U6x0cfKj06s,815
yB_jiIqqFho,909
vrHsx7-dx98,2260
OnN2Vi0aN-U,489
3ihvVifG258,6058
_Aq7Tucna_8,604
MQwfhGw7OJc,443
q9Dkx4otB_Q,553
WOU9jbSe1oc,798
xF-mIhLjGFY,1560
Ch53-3Qd7pw,2539
xeUxpOwC5cw,2049
dhXNH5fDlmg,2529
KULxth70MP8,1091
ReojSacVKWs,805
bTWv1hXtzrU,818
ZPne-lcNP-E,948
A3LKHG1cwIg,1277
KQaH2DCYEP4,1900
RveX4_6MaD0,901
z3RWT3Cm0nY,1171
Mh9jsgAc614,2563
AbOZzmiRMu0,753
4mJmEADqdDc,991
VSL4_jWMj1A,6350
FBPSUcd7xIQ,1679
8ZFKaxVDZ1M,904
Xqsht64maRQ,1069
R0y1fapso3g,1975
fQpOoyvgUao,2009
EHxu9xWctJc,5507
drNJonpNcTM,5932
d7IBvlIOmW4,2300
2D6uhOJtN44,3948
yzMJbhVbQcA,4502
S78r77Wd8Zo,725
l86JJEGUJe8,1502
Mh7ga3E8Sss,576
TMbTqx8lM4c,10038
RTECtV8mULg,835
ti5izVRoJnk,2919
Em-KTMxxoDc,3159
IKBk-Js_R6s,2320
dWx5__9ghAg,1196
UT7VpgesmTA,693
